"filename", "language", "JavaScript", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/EnableTwoFactorAuthentication.js", "JavaScript", 54, 0, 0, 0, 0, 8, 62
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/EnableTwoFactorAuthenticationLogin.js", "JavaScript", 62, 0, 0, 0, 0, 9, 71
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/HomeScreen.js", "JavaScript", 80, 0, 0, 0, 3, 8, 91
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/LoginScreen.js", "JavaScript", 63, 0, 0, 0, 21, 6, 90
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/OTPVerification.js", "JavaScript", 293, 0, 0, 0, 78, 25, 396
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/PhoneVerification.js", "JavaScript", 322, 0, 0, 0, 148, 27, 497
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/RegisterScreen.js", "JavaScript", 62, 0, 0, 0, 2, 6, 70
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/auth/SplashScreen.js", "JavaScript", 32, 0, 0, 0, 0, 2, 34
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/MyOrders.js", "JavaScript", 299, 0, 0, 0, 29, 13, 341
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/MyOrders1.js", "JavaScript", 173, 0, 0, 0, 1, 30, 204
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/PaymentMethod.js", "JavaScript", 257, 0, 0, 0, 0, 1, 258
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/PaymentMethodBlur.js", "JavaScript", 113, 0, 0, 0, 4, 6, 123
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/cartCheckout.js", "JavaScript", 337, 0, 0, 0, 19, 17, 373
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/cartOrderConfirm.js", "JavaScript", 73, 0, 0, 0, 73, 8, 154
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/cartOrderTrack.js", "JavaScript", 165, 0, 0, 0, 3, 7, 175
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/cart/locfour.js", "JavaScript", 172, 0, 0, 0, 22, 21, 215
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/PinCode.js", "JavaScript", 286, 0, 0, 0, 8, 7, 301
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/Token.js", "JavaScript", 79, 0, 0, 0, 15, 3, 97
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/TokenTransaction.js", "JavaScript", 123, 0, 0, 0, 6, 13, 142
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/currentLocation.js", "JavaScript", 486, 0, 0, 0, 7, 21, 514
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/locfour.js", "JavaScript", 429, 0, 0, 0, 2, 16, 447
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/locone.js", "JavaScript", 356, 0, 0, 0, 2, 13, 371
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/locthree.js", "JavaScript", 572, 0, 0, 0, 4, 14, 590
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/loctwo.js", "JavaScript", 87, 0, 0, 0, 0, 3, 90
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/pickup.js", "JavaScript", 194, 0, 0, 0, 65, 16, 275
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/common/renderInputField.js", "JavaScript", 52, 0, 0, 0, 2, 1, 55
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/const data=[{"awb_number": "315942815488.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/BuyBackPolicies.js", "JavaScript", 103, 0, 0, 0, 0, 6, 109
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/FAQ1.js", "JavaScript", 120, 0, 0, 0, 41, 3, 164
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/LetUsKnow.js", "JavaScript", 84, 0, 0, 0, 4, 12, 100
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/PrivacyPolicy.js", "JavaScript", 95, 0, 0, 0, 0, 8, 103
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/ProfileSettings.js", "JavaScript", 75, 0, 0, 0, 0, 1, 76
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/Settings.js", "JavaScript", 339, 0, 0, 0, 87, 18, 444
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/profilesection/TokenPolicies.js", "JavaScript", 30, 0, 0, 0, 0, 3, 33
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/utils/Appt.js", "JavaScript", 5956, 0, 0, 0, 1199, 349, 7504
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/utils/SocialSignin/index.js", "JavaScript", 39, 0, 0, 0, 8, 9, 56
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/utils/Styles.js", "JavaScript", 350, 0, 0, 0, 21, 7, 378
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/utils/responsive/index.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 2, 13
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/utils/storageService.js", "JavaScript", 64, 0, 0, 0, 0, 6, 70
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/screen/wardrobe.js", "JavaScript", 320, 0, 0, 0, 33, 24, 377
"Total", "-", 19387, 245, 3, 1, 2814, 1156, 23606
